OptionSymbol,Expiry,Strike,OptionType,UnderlyingPrice,StockSymbol
AAPL151016C00112000,16-Oct-15,112,C,110.53,AAPL
AAPL151016C00112000,16-Oct-15,112,C,110.54,AAPL
AAPL151016C00112000,16-Oct-15,112,C,110.55,AAPL
AAPL151016C00112000,16-Oct-15,112,C,110.56,AAPL
AAPL151016C00112000,16-Oct-15,112,C,110.57,AAPL
AAPL151016C00112000,16-Oct-15,112,C,110.58,AAPL
AAPL151016C00112000,16-Oct-15,112,C,110.59,AAPL
AAPL151016C00112000,16-Oct-15,112,C,110.6,AAPL
AAPL151016C00112000,16-Oct-15,112,C,110.61,AAPL
AAPL151016C00112000,16-Oct-15,112,C,110.62,AAPL
AAPL151016C00112000,16-Oct-15,112,C,110.63,AAPL
AAPL151016C00112000,16-Oct-15,112,C,110.64,AAPL
AAPL151016C00112000,16-Oct-15,112,C,110.65,AAPL
AAPL151016C00112000,16-Oct-15,112,C,110.66,AAPL
AAPL151016C00112000,16-Oct-15,112,C,110.67,AAPL
AAPL151016C00112000,16-Oct-15,112,C,110.68,AAPL
AAPL151016C00112000,16-Oct-15,112,C,110.7,AAPL
AAPL151016C00112000,16-Oct-15,112,C,110.71,AAPL
AAPL151016C00112000,16-Oct-15,112,C,110.75,AAPL
AAPL151016C00112000,16-Oct-15,112,C,110.76,AAPL
AAPL151016C00112000,16-Oct-15,112,C,110.78,AAPL
AAPL151016C00112000,16-Oct-15,112,C,110.79,AAPL
AAPL151016C00112000,16-Oct-15,112,C,110.82,AAPL
AAPL151016C00112000,16-Oct-15,112,C,110.83,AAPL
AAPL151016C00112000,16-Oct-15,112,C,110.86,AAPL
AAPL151016C00112000,16-Oct-15,112,C,110.88,AAPL
AAPL151016C00112000,16-Oct-15,112,C,110.89,AAPL
AAPL151016C00112000,16-Oct-15,112,C,110.91,AAPL
AAPL151016C00112000,16-Oct-15,112,C,110.93,AAPL
AAPL151016C00112000,16-Oct-15,112,C,110.94,AAPL
AAPL151016C00112000,16-Oct-15,112,C,110.95,AAPL
AAPL151016C00112000,16-Oct-15,112,C,110.96,AAPL
AAPL151016C00112000,16-Oct-15,112,C,110.97,AAPL
AAPL151016C00112000,16-Oct-15,112,C,110.98,AAPL
AAPL151016C00112000,16-Oct-15,112,C,110.99,AAPL
AAPL151016C00112000,16-Oct-15,112,C,111,AAPL
AAPL151016C00112000,16-Oct-15,112,C,111.01,AAPL
AAPL151016C00112000,16-Oct-15,112,C,111.04,AAPL
AAPL151016C00112000,16-Oct-15,112,C,111.05,AAPL
AAPL151016C00112000,16-Oct-15,112,C,111.06,AAPL
AAPL151016C00112000,16-Oct-15,112,C,111.07,AAPL
AAPL151016C00112000,16-Oct-15,112,C,111.08,AAPL
AAPL151016C00112000,16-Oct-15,112,C,111.1,AAPL
AAPL151016C00112000,16-Oct-15,112,C,111.11,AAPL
AAPL151016C00112000,16-Oct-15,112,C,111.12,AAPL
AAPL151016C00112000,16-Oct-15,112,C,111.13,AAPL
AAPL151016C00112000,16-Oct-15,112,C,111.16,AAPL
AAPL151016C00112000,16-Oct-15,112,C,111.18,AAPL
AAPL151016C00112000,16-Oct-15,112,C,111.22,AAPL
AAPL151016C00112000,16-Oct-15,112,C,111.26,AAPL
AAPL151016C00112000,16-Oct-15,112,C,111.29,AAPL
AAPL151016C00112000,16-Oct-15,112,C,111.3,AAPL
AAPL151016C00112000,16-Oct-15,112,C,111.32,AAPL
AAPL151016C00112000,16-Oct-15,112,C,111.33,AAPL
AAPL151016C00112000,16-Oct-15,112,C,111.34,AAPL
AAPL151016C00112000,16-Oct-15,112,C,111.36,AAPL
AAPL151016C00112000,16-Oct-15,112,C,111.38,AAPL
AAPL151016C00112000,16-Oct-15,112,C,111.39,AAPL
AAPL151016C00112000,16-Oct-15,112,C,111.4,AAPL
AAPL151016C00112000,16-Oct-15,112,C,111.41,AAPL
AAPL151016C00112000,16-Oct-15,112,C,111.43,AAPL
AAPL151016C00112000,16-Oct-15,112,C,111.55,AAPL
AAPL151016C00112000,16-Oct-15,112,C,111.57,AAPL
AAPL151016C00112000,16-Oct-15,112,C,111.58,AAPL
AAPL151016C00112000,16-Oct-15,112,C,111.64,AAPL
AAPL151016C00112000,16-Oct-15,112,C,111.74,AAPL
AAPL151016C00113000,16-Oct-15,113,C,111,AAPL
AAPL151016C00113000,16-Oct-15,113,C,111.01,AAPL
AAPL151016C00113000,16-Oct-15,113,C,111.04,AAPL
AAPL151016C00113000,16-Oct-15,113,C,111.05,AAPL
AAPL151016C00113000,16-Oct-15,113,C,111.06,AAPL
AAPL151016C00113000,16-Oct-15,113,C,111.07,AAPL
AAPL151016C00113000,16-Oct-15,113,C,111.08,AAPL
AAPL151016C00113000,16-Oct-15,113,C,111.1,AAPL
AAPL151016C00113000,16-Oct-15,113,C,111.11,AAPL
AAPL151016C00113000,16-Oct-15,113,C,111.12,AAPL
AAPL151016C00113000,16-Oct-15,113,C,111.13,AAPL
AAPL151016C00113000,16-Oct-15,113,C,111.16,AAPL
AAPL151016C00113000,16-Oct-15,113,C,111.18,AAPL
AAPL151016C00113000,16-Oct-15,113,C,111.22,AAPL
AAPL151016C00113000,16-Oct-15,113,C,111.26,AAPL
AAPL151016C00113000,16-Oct-15,113,C,111.29,AAPL
AAPL151016C00113000,16-Oct-15,113,C,111.3,AAPL
AAPL151016C00113000,16-Oct-15,113,C,111.32,AAPL
AAPL151016C00113000,16-Oct-15,113,C,111.33,AAPL
AAPL151016C00113000,16-Oct-15,113,C,111.34,AAPL
AAPL151016C00113000,16-Oct-15,113,C,111.36,AAPL
AAPL151016C00113000,16-Oct-15,113,C,111.38,AAPL
AAPL151016C00113000,16-Oct-15,113,C,111.39,AAPL
AAPL151016C00113000,16-Oct-15,113,C,111.4,AAPL
AAPL151016C00113000,16-Oct-15,113,C,111.41,AAPL
AAPL151016C00113000,16-Oct-15,113,C,111.43,AAPL
AAPL151016C00113000,16-Oct-15,113,C,111.55,AAPL
AAPL151016C00113000,16-Oct-15,113,C,111.57,AAPL
AAPL151016C00113000,16-Oct-15,113,C,111.58,AAPL
AAPL151016C00113000,16-Oct-15,113,C,111.64,AAPL
AAPL151016C00113000,16-Oct-15,113,C,111.74,AAPL
AAPL151016P00108000,16-Oct-15,108,P,109.42,AAPL
AAPL151016P00108000,16-Oct-15,108,P,109.43,AAPL
AAPL151016P00108000,16-Oct-15,108,P,109.46,AAPL
AAPL151016P00108000,16-Oct-15,108,P,109.51,AAPL
AAPL151016P00108000,16-Oct-15,108,P,109.52,AAPL
AAPL151016P00108000,16-Oct-15,108,P,109.53,AAPL
AAPL151016P00108000,16-Oct-15,108,P,109.54,AAPL
AAPL151016P00108000,16-Oct-15,108,P,109.55,AAPL
AAPL151016P00108000,16-Oct-15,108,P,109.56,AAPL
AAPL151016P00108000,16-Oct-15,108,P,109.57,AAPL
AAPL151016P00108000,16-Oct-15,108,P,109.58,AAPL
AAPL151016P00108000,16-Oct-15,108,P,109.59,AAPL
AAPL151016P00108000,16-Oct-15,108,P,109.6,AAPL
AAPL151016P00108000,16-Oct-15,108,P,109.61,AAPL
AAPL151016P00108000,16-Oct-15,108,P,109.62,AAPL
AAPL151016P00108000,16-Oct-15,108,P,109.63,AAPL
AAPL151016P00108000,16-Oct-15,108,P,109.64,AAPL
AAPL151016P00108000,16-Oct-15,108,P,109.65,AAPL
AAPL151016P00108000,16-Oct-15,108,P,109.66,AAPL
AAPL151016P00108000,16-Oct-15,108,P,109.67,AAPL
AAPL151016P00108000,16-Oct-15,108,P,109.68,AAPL
AAPL151016P00108000,16-Oct-15,108,P,109.69,AAPL
AAPL151016P00108000,16-Oct-15,108,P,109.7,AAPL
AAPL151016P00108000,16-Oct-15,108,P,109.71,AAPL
AAPL151016P00108000,16-Oct-15,108,P,109.72,AAPL
AAPL151016P00108000,16-Oct-15,108,P,109.73,AAPL
AAPL151016P00108000,16-Oct-15,108,P,109.74,AAPL
AAPL151016P00108000,16-Oct-15,108,P,109.75,AAPL
AAPL151016P00108000,16-Oct-15,108,P,109.76,AAPL
AAPL151016P00108000,16-Oct-15,108,P,109.79,AAPL
AAPL151016P00108000,16-Oct-15,108,P,109.8,AAPL
AAPL151016P00108000,16-Oct-15,108,P,109.81,AAPL
AAPL151016P00108000,16-Oct-15,108,P,109.84,AAPL
AAPL151016P00108000,16-Oct-15,108,P,109.85,AAPL
AAPL151016P00108000,16-Oct-15,108,P,109.86,AAPL
AAPL151016P00108000,16-Oct-15,108,P,109.87,AAPL
AAPL151016P00108000,16-Oct-15,108,P,109.88,AAPL
AAPL151016P00108000,16-Oct-15,108,P,109.89,AAPL
AAPL151016P00108000,16-Oct-15,108,P,109.9,AAPL
AAPL151016P00108000,16-Oct-15,108,P,109.91,AAPL
AAPL151016P00108000,16-Oct-15,108,P,109.92,AAPL
AAPL151016P00108000,16-Oct-15,108,P,109.93,AAPL
AAPL151016P00108000,16-Oct-15,108,P,109.94,AAPL
AAPL151016P00108000,16-Oct-15,108,P,109.95,AAPL
AAPL151016P00108000,16-Oct-15,108,P,109.96,AAPL
AAPL151016P00108000,16-Oct-15,108,P,109.97,AAPL
AAPL151016P00108000,16-Oct-15,108,P,109.99,AAPL
AAPL151016P00108000,16-Oct-15,108,P,110,AAPL
AAPL151016P00109000,16-Oct-15,109,P,109.42,AAPL
AAPL151016P00109000,16-Oct-15,109,P,109.43,AAPL
AAPL151016P00109000,16-Oct-15,109,P,109.46,AAPL
AAPL151016P00109000,16-Oct-15,109,P,109.51,AAPL
AAPL151016P00109000,16-Oct-15,109,P,109.52,AAPL
AAPL151016P00109000,16-Oct-15,109,P,109.53,AAPL
AAPL151016P00109000,16-Oct-15,109,P,109.54,AAPL
AAPL151016P00109000,16-Oct-15,109,P,109.55,AAPL
AAPL151016P00109000,16-Oct-15,109,P,109.56,AAPL
AAPL151016P00109000,16-Oct-15,109,P,109.57,AAPL
AAPL151016P00109000,16-Oct-15,109,P,109.58,AAPL
AAPL151016P00109000,16-Oct-15,109,P,109.59,AAPL
AAPL151016P00109000,16-Oct-15,109,P,109.6,AAPL
AAPL151016P00109000,16-Oct-15,109,P,109.61,AAPL
AAPL151016P00109000,16-Oct-15,109,P,109.62,AAPL
AAPL151016P00109000,16-Oct-15,109,P,109.63,AAPL
AAPL151016P00109000,16-Oct-15,109,P,109.64,AAPL
AAPL151016P00109000,16-Oct-15,109,P,109.65,AAPL
AAPL151016P00109000,16-Oct-15,109,P,109.66,AAPL
AAPL151016P00109000,16-Oct-15,109,P,109.67,AAPL
AAPL151016P00109000,16-Oct-15,109,P,109.68,AAPL
AAPL151016P00109000,16-Oct-15,109,P,109.69,AAPL
AAPL151016P00109000,16-Oct-15,109,P,109.7,AAPL
AAPL151016P00109000,16-Oct-15,109,P,109.71,AAPL
AAPL151016P00109000,16-Oct-15,109,P,109.72,AAPL
AAPL151016P00109000,16-Oct-15,109,P,109.73,AAPL
AAPL151016P00109000,16-Oct-15,109,P,109.74,AAPL
AAPL151016P00109000,16-Oct-15,109,P,109.75,AAPL
AAPL151016P00109000,16-Oct-15,109,P,109.76,AAPL
AAPL151016P00109000,16-Oct-15,109,P,109.79,AAPL
AAPL151016P00109000,16-Oct-15,109,P,109.8,AAPL
AAPL151016P00109000,16-Oct-15,109,P,109.81,AAPL
AAPL151016P00109000,16-Oct-15,109,P,109.84,AAPL
AAPL151016P00109000,16-Oct-15,109,P,109.85,AAPL
AAPL151016P00109000,16-Oct-15,109,P,109.86,AAPL
AAPL151016P00109000,16-Oct-15,109,P,109.87,AAPL
AAPL151016P00109000,16-Oct-15,109,P,109.88,AAPL
AAPL151016P00109000,16-Oct-15,109,P,109.89,AAPL
AAPL151016P00109000,16-Oct-15,109,P,109.9,AAPL
AAPL151016P00109000,16-Oct-15,109,P,109.91,AAPL
AAPL151016P00109000,16-Oct-15,109,P,109.92,AAPL
AAPL151016P00109000,16-Oct-15,109,P,109.93,AAPL
AAPL151016P00109000,16-Oct-15,109,P,109.94,AAPL
AAPL151016P00109000,16-Oct-15,109,P,109.95,AAPL
AAPL151016P00109000,16-Oct-15,109,P,109.96,AAPL
AAPL151016P00109000,16-Oct-15,109,P,109.97,AAPL
AAPL151016P00109000,16-Oct-15,109,P,109.99,AAPL
AAPL151016P00109000,16-Oct-15,109,P,110,AAPL
AAPL151016P00109000,16-Oct-15,109,P,110.01,AAPL
AAPL151016P00109000,16-Oct-15,109,P,110.02,AAPL
AAPL151016P00109000,16-Oct-15,109,P,110.03,AAPL
AAPL151016P00109000,16-Oct-15,109,P,110.04,AAPL
AAPL151016P00109000,16-Oct-15,109,P,110.05,AAPL
AAPL151016P00109000,16-Oct-15,109,P,110.07,AAPL
AAPL151016P00109000,16-Oct-15,109,P,110.08,AAPL
AAPL151016P00109000,16-Oct-15,109,P,110.09,AAPL
AAPL151016P00109000,16-Oct-15,109,P,110.1,AAPL
AAPL151016P00109000,16-Oct-15,109,P,110.11,AAPL
AAPL151016P00109000,16-Oct-15,109,P,110.12,AAPL
AAPL151016P00109000,16-Oct-15,109,P,110.13,AAPL
AAPL151016P00109000,16-Oct-15,109,P,110.14,AAPL
AAPL151016P00109000,16-Oct-15,109,P,110.15,AAPL
AAPL151016P00109000,16-Oct-15,109,P,110.17,AAPL
AAPL151016P00109000,16-Oct-15,109,P,110.18,AAPL
AAPL151016P00109000,16-Oct-15,109,P,110.19,AAPL
AAPL151016P00109000,16-Oct-15,109,P,110.2,AAPL
AAPL151016P00109000,16-Oct-15,109,P,110.21,AAPL
AAPL151016P00109000,16-Oct-15,109,P,110.22,AAPL
AAPL151016P00109000,16-Oct-15,109,P,110.23,AAPL
AAPL151016P00109000,16-Oct-15,109,P,110.24,AAPL
AAPL151016P00109000,16-Oct-15,109,P,110.25,AAPL
AAPL151016P00109000,16-Oct-15,109,P,110.27,AAPL
AAPL151016P00109000,16-Oct-15,109,P,110.28,AAPL
AAPL151016P00109000,16-Oct-15,109,P,110.29,AAPL
AAPL151016P00109000,16-Oct-15,109,P,110.3,AAPL
AAPL151016P00109000,16-Oct-15,109,P,110.31,AAPL
AAPL151016P00109000,16-Oct-15,109,P,110.32,AAPL
AAPL151016P00109000,16-Oct-15,109,P,110.33,AAPL
AAPL151016P00109000,16-Oct-15,109,P,110.34,AAPL
AAPL151016P00109000,16-Oct-15,109,P,110.35,AAPL
AAPL151016P00109000,16-Oct-15,109,P,110.36,AAPL
AAPL151016P00109000,16-Oct-15,109,P,110.37,AAPL
AAPL151016P00109000,16-Oct-15,109,P,110.38,AAPL
AAPL151016P00109000,16-Oct-15,109,P,110.39,AAPL
AAPL151016P00109000,16-Oct-15,109,P,110.4,AAPL
AAPL151016P00109000,16-Oct-15,109,P,110.41,AAPL
AAPL151016P00109000,16-Oct-15,109,P,110.42,AAPL
AAPL151016P00109000,16-Oct-15,109,P,110.43,AAPL
AAPL151016P00109000,16-Oct-15,109,P,110.44,AAPL
AAPL151016P00109000,16-Oct-15,109,P,110.45,AAPL
AAPL151016P00109000,16-Oct-15,109,P,110.46,AAPL
AAPL151016P00109000,16-Oct-15,109,P,110.47,AAPL
AAPL151016P00109000,16-Oct-15,109,P,110.48,AAPL
AAPL151016P00109000,16-Oct-15,109,P,110.49,AAPL
AAPL151016P00109000,16-Oct-15,109,P,110.5,AAPL
AAPL151016P00109000,16-Oct-15,109,P,110.51,AAPL
AAPL151016P00109000,16-Oct-15,109,P,110.52,AAPL
AAPL151016P00109000,16-Oct-15,109,P,110.53,AAPL
AAPL151016P00109000,16-Oct-15,109,P,110.54,AAPL
AAPL151016P00109000,16-Oct-15,109,P,110.55,AAPL
AAPL151016P00109000,16-Oct-15,109,P,110.56,AAPL
AAPL151016P00109000,16-Oct-15,109,P,110.57,AAPL
AAPL151016P00109000,16-Oct-15,109,P,110.58,AAPL
AAPL151016P00109000,16-Oct-15,109,P,110.59,AAPL
AAPL151016P00109000,16-Oct-15,109,P,110.6,AAPL
AAPL151016P00109000,16-Oct-15,109,P,110.61,AAPL
AAPL151016P00109000,16-Oct-15,109,P,110.62,AAPL
AAPL151016P00109000,16-Oct-15,109,P,110.63,AAPL
AAPL151016P00109000,16-Oct-15,109,P,110.64,AAPL
AAPL151016P00109000,16-Oct-15,109,P,110.65,AAPL
AAPL151016P00109000,16-Oct-15,109,P,110.66,AAPL
AAPL151016P00109000,16-Oct-15,109,P,110.67,AAPL
AAPL151016P00109000,16-Oct-15,109,P,110.68,AAPL
AAPL151016P00109000,16-Oct-15,109,P,110.7,AAPL
AAPL151016P00109000,16-Oct-15,109,P,110.71,AAPL
AAPL151016P00109000,16-Oct-15,109,P,110.75,AAPL
AAPL151016P00109000,16-Oct-15,109,P,110.76,AAPL
AAPL151016P00109000,16-Oct-15,109,P,110.78,AAPL
AAPL151016P00109000,16-Oct-15,109,P,110.79,AAPL
AAPL151016P00109000,16-Oct-15,109,P,110.82,AAPL
AAPL151016P00109000,16-Oct-15,109,P,110.83,AAPL
AAPL151016P00109000,16-Oct-15,109,P,110.86,AAPL
AAPL151016P00109000,16-Oct-15,109,P,110.88,AAPL
AAPL151016P00109000,16-Oct-15,109,P,110.89,AAPL
AAPL151016P00109000,16-Oct-15,109,P,110.91,AAPL
AAPL151016P00109000,16-Oct-15,109,P,110.93,AAPL
AAPL151016P00109000,16-Oct-15,109,P,110.94,AAPL
AAPL151016P00109000,16-Oct-15,109,P,110.95,AAPL
AAPL151016P00109000,16-Oct-15,109,P,110.96,AAPL
AAPL151016P00109000,16-Oct-15,109,P,110.97,AAPL
AAPL151016P00109000,16-Oct-15,109,P,110.98,AAPL
AAPL151016P00109000,16-Oct-15,109,P,110.99,AAPL
AAPL151016P00109000,16-Oct-15,109,P,111,AAPL
AAPL151016P00110000,16-Oct-15,110,P,109.42,AAPL
AAPL151016P00110000,16-Oct-15,110,P,109.43,AAPL
AAPL151016P00110000,16-Oct-15,110,P,109.46,AAPL
AAPL151016P00110000,16-Oct-15,110,P,109.51,AAPL
AAPL151016P00110000,16-Oct-15,110,P,109.52,AAPL
AAPL151016P00110000,16-Oct-15,110,P,109.53,AAPL
AAPL151016P00110000,16-Oct-15,110,P,109.54,AAPL
AAPL151016P00110000,16-Oct-15,110,P,109.55,AAPL
AAPL151016P00110000,16-Oct-15,110,P,109.56,AAPL
AAPL151016P00110000,16-Oct-15,110,P,109.57,AAPL
AAPL151016P00110000,16-Oct-15,110,P,109.58,AAPL
AAPL151016P00110000,16-Oct-15,110,P,109.59,AAPL
AAPL151016P00110000,16-Oct-15,110,P,109.6,AAPL
AAPL151016P00110000,16-Oct-15,110,P,109.61,AAPL
AAPL151016P00110000,16-Oct-15,110,P,109.62,AAPL
AAPL151016P00110000,16-Oct-15,110,P,109.63,AAPL
AAPL151016P00110000,16-Oct-15,110,P,109.64,AAPL
AAPL151016P00110000,16-Oct-15,110,P,109.65,AAPL
AAPL151016P00110000,16-Oct-15,110,P,109.66,AAPL
AAPL151016P00110000,16-Oct-15,110,P,109.67,AAPL
AAPL151016P00110000,16-Oct-15,110,P,109.68,AAPL
AAPL151016P00110000,16-Oct-15,110,P,109.69,AAPL
AAPL151016P00110000,16-Oct-15,110,P,109.7,AAPL
AAPL151016P00110000,16-Oct-15,110,P,109.71,AAPL
AAPL151016P00110000,16-Oct-15,110,P,109.72,AAPL
AAPL151016P00110000,16-Oct-15,110,P,109.73,AAPL
AAPL151016P00110000,16-Oct-15,110,P,109.74,AAPL
AAPL151016P00110000,16-Oct-15,110,P,109.75,AAPL
AAPL151016P00110000,16-Oct-15,110,P,109.76,AAPL
AAPL151016P00110000,16-Oct-15,110,P,109.79,AAPL
AAPL151016P00110000,16-Oct-15,110,P,109.8,AAPL
AAPL151016P00110000,16-Oct-15,110,P,109.81,AAPL
AAPL151016P00110000,16-Oct-15,110,P,109.84,AAPL
AAPL151016P00110000,16-Oct-15,110,P,109.85,AAPL
AAPL151016P00110000,16-Oct-15,110,P,109.86,AAPL
AAPL151016P00110000,16-Oct-15,110,P,109.87,AAPL
AAPL151016P00110000,16-Oct-15,110,P,109.88,AAPL
AAPL151016P00110000,16-Oct-15,110,P,109.89,AAPL
AAPL151016P00110000,16-Oct-15,110,P,109.9,AAPL
AAPL151016P00110000,16-Oct-15,110,P,109.91,AAPL
AAPL151016P00110000,16-Oct-15,110,P,109.92,AAPL
AAPL151016P00110000,16-Oct-15,110,P,109.93,AAPL
AAPL151016P00110000,16-Oct-15,110,P,109.94,AAPL
AAPL151016P00110000,16-Oct-15,110,P,109.95,AAPL
AAPL151016P00110000,16-Oct-15,110,P,109.96,AAPL
AAPL151016P00110000,16-Oct-15,110,P,109.97,AAPL
AAPL151016P00110000,16-Oct-15,110,P,109.99,AAPL
AAPL151016P00110000,16-Oct-15,110,P,110,AAPL
AAPL151016P00110000,16-Oct-15,110,P,110.01,AAPL
AAPL151016P00110000,16-Oct-15,110,P,110.02,AAPL
AAPL151016P00110000,16-Oct-15,110,P,110.03,AAPL
AAPL151016P00110000,16-Oct-15,110,P,110.04,AAPL
AAPL151016P00110000,16-Oct-15,110,P,110.05,AAPL
AAPL151016P00110000,16-Oct-15,110,P,110.07,AAPL
AAPL151016P00110000,16-Oct-15,110,P,110.08,AAPL
AAPL151016P00110000,16-Oct-15,110,P,110.09,AAPL
AAPL151016P00110000,16-Oct-15,110,P,110.1,AAPL
AAPL151016P00110000,16-Oct-15,110,P,110.11,AAPL
AAPL151016P00110000,16-Oct-15,110,P,110.12,AAPL
AAPL151016P00110000,16-Oct-15,110,P,110.13,AAPL
AAPL151016P00110000,16-Oct-15,110,P,110.14,AAPL
AAPL151016P00110000,16-Oct-15,110,P,110.15,AAPL
AAPL151016P00110000,16-Oct-15,110,P,110.17,AAPL
AAPL151016P00110000,16-Oct-15,110,P,110.18,AAPL
AAPL151016P00110000,16-Oct-15,110,P,110.19,AAPL
AAPL151016P00110000,16-Oct-15,110,P,110.2,AAPL
AAPL151016P00110000,16-Oct-15,110,P,110.21,AAPL
AAPL151016P00110000,16-Oct-15,110,P,110.22,AAPL
AAPL151016P00110000,16-Oct-15,110,P,110.23,AAPL
AAPL151016P00110000,16-Oct-15,110,P,110.24,AAPL
AAPL151016P00110000,16-Oct-15,110,P,110.25,AAPL
AAPL151016P00110000,16-Oct-15,110,P,110.27,AAPL
AAPL151016P00110000,16-Oct-15,110,P,110.28,AAPL
AAPL151016P00110000,16-Oct-15,110,P,110.29,AAPL
AAPL151016P00110000,16-Oct-15,110,P,110.3,AAPL
AAPL151016P00110000,16-Oct-15,110,P,110.31,AAPL
AAPL151016P00110000,16-Oct-15,110,P,110.32,AAPL
AAPL151016P00110000,16-Oct-15,110,P,110.33,AAPL
AAPL151016P00110000,16-Oct-15,110,P,110.34,AAPL
AAPL151016P00110000,16-Oct-15,110,P,110.35,AAPL
AAPL151016P00110000,16-Oct-15,110,P,110.36,AAPL
AAPL151016P00110000,16-Oct-15,110,P,110.37,AAPL
AAPL151016P00110000,16-Oct-15,110,P,110.38,AAPL
AAPL151016P00110000,16-Oct-15,110,P,110.39,AAPL
AAPL151016P00110000,16-Oct-15,110,P,110.4,AAPL
AAPL151016P00110000,16-Oct-15,110,P,110.41,AAPL
AAPL151016P00110000,16-Oct-15,110,P,110.42,AAPL
AAPL151016P00110000,16-Oct-15,110,P,110.43,AAPL
AAPL151016P00110000,16-Oct-15,110,P,110.44,AAPL
AAPL151016P00110000,16-Oct-15,110,P,110.45,AAPL
AAPL151016P00110000,16-Oct-15,110,P,110.46,AAPL
AAPL151016P00110000,16-Oct-15,110,P,110.47,AAPL
AAPL151016P00110000,16-Oct-15,110,P,110.48,AAPL
AAPL151016P00110000,16-Oct-15,110,P,110.49,AAPL
AAPL151016P00110000,16-Oct-15,110,P,110.5,AAPL
AAPL151016P00110000,16-Oct-15,110,P,110.51,AAPL
AAPL151016P00110000,16-Oct-15,110,P,110.52,AAPL
AAPL151016P00110000,16-Oct-15,110,P,110.53,AAPL
AAPL151016P00110000,16-Oct-15,110,P,110.54,AAPL
AAPL151016P00110000,16-Oct-15,110,P,110.55,AAPL
AAPL151016P00110000,16-Oct-15,110,P,110.56,AAPL
AAPL151016P00110000,16-Oct-15,110,P,110.57,AAPL
AAPL151016P00110000,16-Oct-15,110,P,110.58,AAPL
AAPL151016P00110000,16-Oct-15,110,P,110.59,AAPL
AAPL151016P00110000,16-Oct-15,110,P,110.6,AAPL
AAPL151016P00110000,16-Oct-15,110,P,110.61,AAPL
AAPL151016P00110000,16-Oct-15,110,P,110.62,AAPL
AAPL151016P00110000,16-Oct-15,110,P,110.63,AAPL
AAPL151016P00110000,16-Oct-15,110,P,110.64,AAPL
AAPL151016P00110000,16-Oct-15,110,P,110.65,AAPL
AAPL151016P00110000,16-Oct-15,110,P,110.66,AAPL
AAPL151016P00110000,16-Oct-15,110,P,110.67,AAPL
AAPL151016P00110000,16-Oct-15,110,P,110.68,AAPL
AAPL151016P00110000,16-Oct-15,110,P,110.7,AAPL
AAPL151016P00110000,16-Oct-15,110,P,110.71,AAPL
AAPL151016P00110000,16-Oct-15,110,P,110.75,AAPL
AAPL151016P00110000,16-Oct-15,110,P,110.76,AAPL
AAPL151016P00110000,16-Oct-15,110,P,110.78,AAPL
AAPL151016P00110000,16-Oct-15,110,P,110.79,AAPL
AAPL151016P00110000,16-Oct-15,110,P,110.82,AAPL
AAPL151016P00110000,16-Oct-15,110,P,110.83,AAPL
AAPL151016P00110000,16-Oct-15,110,P,110.86,AAPL
AAPL151016P00110000,16-Oct-15,110,P,110.88,AAPL
AAPL151016P00110000,16-Oct-15,110,P,110.89,AAPL
AAPL151016P00110000,16-Oct-15,110,P,110.91,AAPL
AAPL151016P00110000,16-Oct-15,110,P,110.93,AAPL
AAPL151016P00110000,16-Oct-15,110,P,110.94,AAPL
AAPL151016P00110000,16-Oct-15,110,P,110.95,AAPL
AAPL151016P00110000,16-Oct-15,110,P,110.96,AAPL
AAPL151016P00110000,16-Oct-15,110,P,110.97,AAPL
AAPL151016P00110000,16-Oct-15,110,P,110.98,AAPL
AAPL151016P00110000,16-Oct-15,110,P,110.99,AAPL
AAPL151016P00110000,16-Oct-15,110,P,111,AAPL
AAPL151016P00110000,16-Oct-15,110,P,111.01,AAPL
AAPL151016P00110000,16-Oct-15,110,P,111.04,AAPL
AAPL151016P00110000,16-Oct-15,110,P,111.05,AAPL
AAPL151016P00110000,16-Oct-15,110,P,111.06,AAPL
AAPL151016P00110000,16-Oct-15,110,P,111.07,AAPL
AAPL151016P00110000,16-Oct-15,110,P,111.08,AAPL
AAPL151016P00110000,16-Oct-15,110,P,111.1,AAPL
AAPL151016P00110000,16-Oct-15,110,P,111.11,AAPL
AAPL151016P00110000,16-Oct-15,110,P,111.12,AAPL
AAPL151016P00110000,16-Oct-15,110,P,111.13,AAPL
AAPL151016P00110000,16-Oct-15,110,P,111.16,AAPL
AAPL151016P00110000,16-Oct-15,110,P,111.18,AAPL
AAPL151016P00110000,16-Oct-15,110,P,111.22,AAPL
AAPL151016P00110000,16-Oct-15,110,P,111.26,AAPL
AAPL151016P00110000,16-Oct-15,110,P,111.29,AAPL
AAPL151016P00110000,16-Oct-15,110,P,111.3,AAPL
AAPL151016P00110000,16-Oct-15,110,P,111.32,AAPL
AAPL151016P00110000,16-Oct-15,110,P,111.33,AAPL
AAPL151016P00110000,16-Oct-15,110,P,111.34,AAPL
AAPL151016P00110000,16-Oct-15,110,P,111.36,AAPL
AAPL151016P00110000,16-Oct-15,110,P,111.38,AAPL
AAPL151016P00110000,16-Oct-15,110,P,111.39,AAPL
AAPL151016P00110000,16-Oct-15,110,P,111.4,AAPL
AAPL151016P00110000,16-Oct-15,110,P,111.41,AAPL
AAPL151016P00110000,16-Oct-15,110,P,111.43,AAPL
